"word","phonetic","meaning_zh","example","tags"
"honest","'ɑnɪst","诚实的","He was a hard-working, honest man.","CET4luan_2"
"honesty","'ɑnəsti","诚实，正直","a politician of rare honesty and courage","CET4luan_2"
"honey","'hʌni","蜜，蜂蜜","Where did you buy the honey?","CET4luan_2"
"honeymoon","'hʌnɪmun","蜜月","We went to Italy on our honeymoon.","CET4luan_2"
"honorary","'ɑnərɛri","荣誉的","Brown received an honorary doctorate from Seoul University.","CET6_1"
"honour","'ɔnə","光荣；尊敬，敬意","Over 100 players competed for the honour of representing the county in the National Finals.","CET4luan_2"
"honourable","'ɔnərəbl","光荣的","长期而光荣的从政生涯","CET4luan_2"
"hook","hʊk","钩，挂钩","Tom hung his coat on the hook behind the door.","CET4luan_2"
"hope","hop","希望","I do hope everything goes well.","CET4luan_2"
"hopeful","'hopfl","有希望的","Things might get better, but it doesn’t look very hopeful right now.","CET4luan_2"
"hopeless","ˈhoʊpləs","没有希望的；绝望的","We tried to stop the flames from spreading, but we knew it was hopeless.","CET4luan_2"
"horizon","hə'raɪzn","地平线；眼界，见识","In the distance, the dot of a boat appeared on the horizon.","CET4luan_2"
"horizontal","'hɔrə'zɑntl","地平的；水平的","a horizontal surface","CET4luan_2"
"horn","hɔrn","号角；喇叭；角","A mature cow has horns.","CET4luan_2"
"horror","'hɔrɚ","恐怖；战栗；憎恶","People watched in horror as the plane crashed to the ground.","CET4luan_2"
"horse","hɔrs","马；马科动物","a horse and cart","CET4luan_2"
"horsepower","'hɔrs'paʊɚ","马力","a two-hundred horsepower engine","CET4luan_2"
"hospital","'hɑspɪtl","医院","They are building a new hospital.","CET4luan_2"
"hospitality",",hɑspɪ'tæləti","友好","Thanks for your hospitality over the past few weeks.","CET6_1"
"host","host","主人；东道主","Our host greeted us at the door.","CET4luan_2,CET6_1"
"hostess","'hostəs","女主人","The hostess introduced them.","CET4luan_2"
"hostile","ˈhɑstəl","不友善的；敌方的","Southampton fans gave their former coach a hostile reception .","CET4luan_2,CET6_1"
"hostility","hɑ'stɪləti","敌意","The last decade has witnessed a serious rise in the levels of racism and hostility to black and ethnic groups.","CET6_1"
"hot","hɑt","热的；刺激的；辣的","a hot day in July","CET4luan_2"
"hotel","ho'tɛl","旅馆","I’ve booked the flights and the hotel.","CET4luan_2"
"hour","'aʊɚ","小时；时间；时刻","The interview will last about two hours.","CET4luan_2"
"house","haʊs","房屋，住宅；商号","a four-bedroom house","CET4luan_2"
"household","'haʊshold","家庭，户；家务","Most households now own at least one car.","CET4luan_2,CET6_1"
"housewife","'haʊs'waɪf","家庭主妇","Married at nineteen, she was a traditional housewife and mother of four children.","CET4luan_2"
"how","haʊ","怎么；怎样；多少","How do you spell your name?","CET4luan_2"
"however","haʊ'ɛvɚ","然而；不管怎样","This is a cheap and simple process. However, there are dangers.","CET4luan_2"
"huge","hjudʒ","巨大的，庞大的","a huge dog","CET4luan_2"
"human","'hjumən","人的，人类的","There are many different cell types in the human body .","CET4luan_2"
"humanistic",",hjʊmən'ɪstɪk","人文的","Religious values can often differ greatly from humanistic morals.","CET6_1"
"humble","'hʌmbl","谦逊的；地位低下的","a modest and humble man","CET4luan_2"
"humid","'hjumɪd","湿的，湿气重的","Tokyo is extremely humid in mid-summer.","CET4luan_2"
"humorous","'hjumərəs","富于幽默的，诙谐的","humorous stories","CET4luan_2,CET6_1"
"humour","'hju:mə","幽默，诙谐，幽默感","his humour and charm","CET4luan_2"
"hundred","'hʌndrəd","百，百个","The tree was probably a hundred years old.","CET4luan_2"
"hunger","'hʌŋɡɚ","饿，饥饿；渴望","Try to satisfy your hunger by eating some fruit.","CET4luan_2"
"hungry","'hʌŋɡri","饥饿的；渴望的","I was cold, tired, and hungry.","CET4luan_2"
"hunt","hʌnt","打猎；搜寻","lion/rhino/stag etc hunt","CET4luan_2"
"hurl","hɝl","猛投","Demonstrators were hurling bricks through the windows.","CET6_1"
"hurry","'hɝrɪ","赶紧；催促","If we hurry, we’ll get there in time.","CET4luan_2"
"hurt","hɝ​t","使受伤；使痛心","Was anyone hurt in the accident?","CET4luan_2"
"husband","'hʌzbənd","丈夫","Have you met my husband Roy?","CET4luan_2"
"hut","hʌt","小屋，棚屋","a wooden hut","CET4luan_2"
"hydrogen","'haɪdrədʒən","氢","Water contains hydrogen and oxygen.","CET4luan_2"
"hypothesis","haɪ'pɑθəsɪs","假设，假说","One hypothesis is that the victim fell asleep while driving.","CET6_1"
"I","aɪ","（主格）我","I moved to this city six years ago.","CET4luan_2"
"ice","aɪs","冰，冰块","Would you like some ice in your drink?","CET4luan_2"
"idea","aɪ'diə","想法；思想；意见","You should talk to Ken – he's always full of good ideas.","CET4luan_2"
"ideal","aɪ'diəl","理想的","advice on how to reach your ideal weight","CET4luan_2"
"identical","aɪ'dɛntɪkl","完全相同的；同一的","four identical houses","CET4luan_2,CET6_1"
"identify","aɪ'dɛntɪfaɪ","认出，识别，鉴定","He was too far away to be able to identify faces.","CET4luan_2,CET6_1"
"ideological",",aɪdɪə'lɑdʒɪkl","意识形态的","The party is split by ideological differences.","CET6_1"
"ideologically",",aidiə'lɔdʒikali","意识形态上地",,"CET6_1"
"ideology",",aidi'ɔlədʒi, ,idi-","意识形态","the ideologies of fascism and terrorism","CET6_1"
"idiom","'ɪdɪəm","习语，成语","..familiar idioms and metaphors, such as ""turning over a new leaf.","CET4luan_2"
"idle","'aɪdl","空闲的；懒散的","In idle moments, he carved wooden figures.","CET4luan_2"
"if","ɪf","假如，如果","We’ll stay at home if it rains.","CET4luan_2"
"ignorant","'ɪɡnərənt","不知道的；无知的","an ignorant and uneducated man","CET4luan_2"
"ignore","ɪɡ'nɔr","不顾，不理，忽视","The phone rang, but she ignored it.","CET4luan_2,CET6_1"
"ill","ɪl","有病的；坏的","Bridget can’t come – she’s ill.","CET4luan_2"
"illegal","ɪ'ligl","不合法的，非法的","illegal drugs","CET4luan_2"
"illness","'ɪlnəs","病，疾病","She had all the normal childhood illnesses.","CET4luan_2"
"illuminate","ɪ'lumɪnet","阐释，阐明","The report illuminated the difficult issues at the heart of science policy.","CET6_1"
"illustrate","'ɪləstret","（用图等）说明","Let me give an example to illustrate the point.","CET4luan_2,CET6_1"
"illustration",",ɪlə'streʃən","说明，图解；例证","The book contains 62 pages of illustrations.","CET4luan_2"
"image","'ɪmɪdʒ","图像；映像；形象；印象","Slowly, an image began to appear on the screen.","CET4luan_2"
"imaginary","ɪ'mædʒɪnɛri","想象中的，假想的","As she listened, she played an imaginary piano on her knees.","CET4luan_2"
"imagination","ɪ,mædʒɪ'neʃən","想象；想象力；空想","a storyteller with an incredible imagination","CET4luan_2"
"imagine","ɪ'mædʒɪn","想象，设想","Imagine that you have just won a million pounds.","CET4luan_2"
"imbalance","ɪm'bæləns","不平衡","a hormonal imbalance","CET6_1"
"imitate","'ɪmɪtet","模仿；仿效；仿制","She was a splendid mimic and loved to imitate Winston Churchill.","CET4luan_2,CET6_1"
"immediate","ɪ'midɪət","立即的；直接的","Our immediate response to the attack was sheer horror.","CET4luan_2"
"immediately","ɪ'midɪətli","立即；（immediately involved）直接地","He retired immediately after the end of the war.","CET4luan_2"
"immense","ɪ'mɛns","巨大的；极好的","People who travel by rail still read an immense amount.","CET4luan_2,CET6_1"
"immensely","i'mensli","非常，极大地","Champagne wines became immensely popular in the 18th century.","CET6_1"
"immersive","ɪˈmɜ:sɪv","沉浸的，身临其境的",,"CET6_1"
"immigrant","'ɪmɪɡrənt","移民","an illegal immigrant","CET4luan_2,CET6_1"
"immigration",",ɪmɪ'ɡreʃən","移民","He called for a common European policy on immigration.","CET6_1"
"imminent","'ɪmɪnənt","即将来临的","A new trade agreement is imminent.","CET6_1"
"impact","ɪm'pækt","影响，作用；冲击","We need to assess the impact on climate change.","CET4luan_2,CET6_1"
"impair","ɪm'pɛr","损害","The illness had impaired his ability to think and concentrate.","CET6_1"
"impart","ɪm'pɑrt","传授，教授","She had information that she couldn’t wait to impart.","CET6_1"
"impatient",,"不耐烦的，急躁的","The impatient drivers were beeping their horns.","CET4luan_2"
"imperative","ɪm'pɛrətɪv","必须的,必要的","It is imperative that politicians should be good communicators.","CET6_1"
"imperial","ɪm'pɪrɪəl","帝国的","Britain’s imperial expansion in the 19th century","CET6_1"
"implication","'ɪmplɪ'keʃən","含义，暗示，暗指","They are called ‘Supertrams’, the implication being that (= which is meant to suggest that ) they are more advanced than earlier models.","CET4luan_2"
"imply","ɪm'plai","暗示，意指","an implied threat","CET4luan_2"
"import",,"输入，进口","a ban on beef imports","CET4luan_2"
"importance","ɪm'pɔrtns","重要；重要性","He was full of his own importance (= he behaved in an annoying way which showed that he thought he was very important ).","CET4luan_2"
"important","ɪm'pɔrtnt","重要的；有势力的","a very important meeting","CET4luan_2"
"impose","ɪm'poz","把…强加；征（税）","Parents should beware of imposing their own tastes on their children.","CET4luan_2,CET6_1"
"impossible","ɪm'pɑsəbl","不可能的，办不到的","‘I want to speak to Mr Franks.’ ‘I’m afraid that’s impossible.’","CET4luan_2"
"impress","ɪm'prɛs","给…深刻印象","Steve borrowed his dad’s sports car to impress his girlfriend.","CET4luan_2"
"impression","ɪm'prɛʃən","印象；印记","When we looked around the school we got a very good impression.","CET4luan_2"
"impressive","ɪm'prɛsɪv","给人印象深刻的","The figures certainly look impressive.","CET4luan_2"
"imprison","ɪm'prɪzn","关押，监禁；限制","The government imprisoned all opposition leaders.","CET4luan_2,CET6_1"
"improve","ɪm'pruv","改善；使更好","a course for students wishing to improve their English","CET4luan_2"
"improvement","ɪm'prʊvmənt","改进，改善；改进之处","Our results have shown some improvement this month.","CET4luan_2"
"in","ɪn","在…里；进，入","There’s some sugar in the cupboard.","CET4luan_2"
"inaction","ɪn'ækʃən","不作为","He is bitter about the inaction of the other political parties.","CET6_1"
"inadequate","ɪn'ædɪkwət","不足的","inadequate resources","CET6_1"
"inanimate","ɪn'ænɪmət","无生命的","an inanimate object","CET6_1"
"incalculable","ɪn'kælkjələbl","不可估量的，无法计算的","Her contribution to our work is incalculable.","CET6_1"
"incentive","ɪn'sɛntɪv","刺激","As an added incentive, there’s a bottle of champagne for the best team.","CET6_1"
"inch","ɪntʃ","英寸","The curtains were an inch too short.","CET4luan_2"
"incidence","'ɪnsɪdəns","发生率","The incidence of breast cancer increases with age.","CET6_1"
"incident","'ɪnsɪdənt","发生的事；事件","His bad behaviour was just an isolated incident.","CET4luan_2"
"incidentally",",ɪnsɪ'dɛntli","顺便地，附带","""I didn't ask you to come. Incidentally, why have you come?""","CET6_1"
"incline","ɪn'klaɪn","斜坡","a steep incline","CET4luan_2"
"include","ɪn'klud","包括，包含","Does the price include postage?","CET4luan_2"
"income","'ɪnkʌm","收入；收益；进款","low-income families","CET4luan_2"
"incompatibility","'ɪnkəm,pætə'bɪləti","不兼容","A standardized programming model should be introduced to avoid technology incompatibility problems.","CET6_1"
"incompetence","ɪn'kɑmpɪtəns","无能","The incompetence of government officials is appalling.","CET6_1"
"incompetent","ɪn'kɑmpɪtənt","无能力的，不胜任的","an incompetent manager","CET6_1"
"incorporate","ɪn'kɔːpəreɪt","合并；体现","It allows you to harness existing technologies and incorporate them into one application.","CET6_1"
"incorrect",",ɪnkə'rɛkt","不正确的，错误的","The information you gave us was incorrect.","CET4luan_2"
"increase","'ɪnkris","增加","The population increased dramatically in the first half of the century.","CET4luan_2"
"increasingly","ɪn'krisɪŋli","日益，越来越多地","Marketing techniques are becoming increasingly sophisticated.","CET4luan_2"
"incur","ɪn'kɝ","引起，导致","And operational downtime caused by reliability or performance problems can incur opportunity costs if customers are unable to access your system or the business is unable to do its work.","CET6_1"
"indeed","ɪn'did","确实；真正地","The blood tests prove that Vince is indeed the father.","CET4luan_2"
"indefinite","ɪn'dɛfɪnət","不明确的；不定的","Teachers find the report’s terminology so indefinite that it is confusing.","CET4luan_2"
"independence",",ɪndɪ'pɛndəns","独立；自主，自立","The country has made great advances since independence.","CET4luan_2"
"independent","'ɪndɪ'pɛndənt","独立的；自主的","Mozambique became independent in 1975.","CET4luan_2"
"index","'ɪndɛks","索引；指数；指标","Look it up in the index.","CET4luan_2,CET6_1"
"India","'ɪndɪə","印度","Burma borders on India.","CET4luan_2"
"Indian","'ɪndɪən","印度的","the Indian government","CET4luan_2"
"indicate","'ɪndɪket","标示，表示；表明","The study indicates a connection between poverty and crime.","CET4luan_2,CET6_1"
"indication",",ɪndɪ'keʃən","指示；表示；表明","Could you give me some indication as to when I am likely to receive a reply?","CET4luan_2"
"indicative","ɪn'dɪkətɪv","指示的","This behaviour is indicative of her whole attitude, I’m afraid.","CET6_1"
"indifferent","ɪn'dɪfrənt","冷漠的；不积极的","People have become indifferent to the suffering of others.","CET4luan_2,CET6_1"
"indignant","ɪn'dɪɡnənt","愤慨的，义愤的","an indignant reply","CET4luan_2"
"indirect",",ɪndə'rɛkt","间接的；不坦率的","Losing weight is an indirect result of smoking cigarettes.","CET4luan_2"
"indiscriminately","indi'skriminitli","不加选择地，不加区分地","Thatis, should you agree to share your private information with other people moreor less indiscriminately?","CET6_1"
"indispensable","'ɪndɪ'spɛnsəbl","必不可少的，必需的","Mobile phones have become an indispensable part of our lives.","CET4luan_2,CET6_1"
"individual",",ɪndɪ'vɪdʒuəl","个别的；独特的","Each individual leaf on the tree is different.","CET4luan_2"
"indoors",",ɪn'dɔrz","在室内，在屋里","Let’s go indoors and have something to eat.","CET4luan_2"
"indulge","ɪn'dʌldʒ","放纵","His mother spoiled him, indulging his every whim.","CET6_1"
"industrial","ɪn'dʌstrɪəl","工业的；产业的","industrial accident/injury (=happening at work)","CET4luan_2"
"industrialize","ɪn'dʌstrɪəlaɪz","使工业化","The southern part of the country was slow to industrialize.","CET4luan_2"
"industrious","ɪn'dʌstrɪəs","勤奋的","She was an industrious and willing worker.","CET6_1"
"industry","'ɪndəstri","工业，产业；勤劳","I work in the oil industry.","CET4luan_2"
"ineffective",",ɪnɪ'fɛktɪv","无效的","an ineffective marketing campaign","CET6_1"
"inefficient",",ɪnɪ'fɪʃnt","效率低的，无能的","an inefficient use of resources","CET4luan_2"
"inescapable","'ɪnə'skepəbl","不可避免的","She didn’t want to confront the inescapable fact that she would have to sell the house.","CET6_1"
"inevitable","ɪn'ɛvɪtəbl","不可避免的，必然的","A further escalation of the crisis now seems inevitable.","CET4luan_2,CET6_1"
"inexhaustible",",ɪnɪɡ'zɔstəbl","用不完的，无穷无尽的","She has an inexhaustible supply of funny stories.","CET6_1"
"inexpensive",",ɪnɪk'spɛnsɪv","花费不多的，廉价的","a good selection of inexpensive wines","CET4luan_2"
"infant","'ɪnfənt","婴儿","An infant’s skin is very sensitive.","CET4luan_2,CET6_1"
"infect","ɪn'fɛkt","传染；感染","People with the virus may feel perfectly well, but they can still infect others.","CET4luan_2,CET6_1"
"infectious","ɪn'fɛkʃəs","感染的，传染的","infectious diseases","CET6_1"
"infer","ɪn'fɝ","推论，推断；猜想","I inferred from what she said that you have not been well.","CET4luan_2"
"inferior","ɪn'fɪrɪɚ","下等的；劣等的","I felt very inferior among all those academics.","CET4luan_2,CET6_1"
"infinite","'ɪnfɪnət","无限的；无数的","The universe is infinite.","CET4luan_2"
"inflation","ɪn'fleʃən","通货膨胀","Inflation is now at over 16%.","CET6_1"
"influence","'ɪnfluəns","影响；势力","As a scientist, his influence was immense.","CET4luan_2"
"influential",",ɪnflu'ɛnʃl","有影响的；有权势的","He had influential friends.","CET4luan_2,CET6_1"
"inform","ɪn'fɔrm","通知，向…报告","They decided to inform the police.","CET4luan_2"
"information","'ɪnfɚ'meʃən","消息，信息；通知","I need more information.","CET4luan_2"
"ingenuity",",ɪndʒə'nuəti","创造力","They suppress the ingenuity of our people and businesses.","CET6_1"
"inhabit","ɪn'hæbɪt","居住于，栖息于","The woods are inhabited by many wild animals.","CET4luan_2"
"inhabitant","ɪn'hæbɪtənt","居民，住户","a city of six million inhabitants","CET4luan_2"
"inhale","ɪn'hel","吸入","It is dangerous to inhale ammonia fumes.","CET6_1"
"inherent","ɪn'hɪrənt","固有的","Every business has its own inherent risks.","CET6_1"
"inherit","ɪn'hɛrɪt","继承（传统等）","inherited wealth","CET4luan_2,CET6_1"
"inheritance","ɪn'hɛrɪtəns","继承；遗产","Lucinda has to fight for her life and her inheritance in this gripping novel.","CET6_1"
"initial","ɪ'nɪʃəl","最初的","an initial investment of £5,000","CET4luan_2,CET6_1"
"initiative","ɪ'nɪʃətɪv","主动性","I wish my son would show more initiative.","CET6_1"
"injection","ɪn'dʒɛkʃən","注射；注入","The nurse gave me a tetanus injection.","CET4luan_2"
"injure","'ɪndʒɚ","伤害，损害，损伤","Angus injured his leg playing rugby.","CET4luan_2"
"injury",,"损害，伤害；受伤处","She was taken to hospital with serious head injuries.","CET4luan_2"
"injustice","ɪn'dʒʌstɪs","不公正","The movie deals with injustices suffered by Native Americans.","CET6_1"
"ink","ɪŋk","墨水，油墨","Please write in black ink.","CET4luan_2"
"inn","ɪn","小旅店；小酒店","We’re staying at the Holiday Inn.","CET4luan_2"
"inner","'ɪnɚ","内部的；内心的","an inner room","CET4luan_2"
"innocent","'ɪnəsnt","清白的；幼稚的","Nobody would believe that I was innocent.","CET4luan_2"
"innovation",",ɪnə'veʃən","创新，革新","We must encourage innovation if the company is to remain competitive.","CET6_1"
"input","'ɪn'pʊt","输入；投入的资金","If the input data specified it, the file will close and the process terminates.","CET4luan_2"
"inquire","ɪn'kwaɪr","打听，询问；调查","‘Why are you doing that?’ the boy inquired.","CET4luan_2,CET6_1"
"inquiry","ɪn'kwaɪri; 'ɪn,kwaɪri; 'ɪnkwəri; 'ɪŋkwaɪri","询问，打听；调查","I don’t know who sent the gift, but I’ll make some inquiries.","CET4luan_2"
"insect","'ɪnsɛkt","昆虫，虫","an insect bite","CET4luan_2"
"insert","'ɪnsɝt","插入；嵌入；登载","He took a small key from his pocket and slowly inserted it into the lock.","CET4luan_2"
"inside","'ɪn'saɪd","在…里面","He concealed the key inside his tie.","CET4luan_2"
"insist","ɪn'sɪst","坚持；坚持要求","Stay for supper – I insist!","CET4luan_2"
"inspect","ɪn'spɛkt","检查，审查；检阅","I got out of the car to inspect the damage.","CET4luan_2"
"inspection","ɪn'spɛkʃən","检阅；检查，审查","An inspection was carried out at the school.","CET4luan_2"
"inspire","ɪn'spaɪɚ","鼓舞；给…以灵感","We need someone who can inspire the team.","CET4luan_2,CET6_1"
"install","ɪn'stɔl","安装，设置","They’ve installed the new computer network at last.","CET4luan_2"
"installation","'ɪnstə'leʃən","安装；装置；设施","the installation and maintenance of alarm systems","CET4luan_2"
"instance","'ɪnstəns","例子，实例，事例","They came across many instances of discrimination.","CET4luan_2"
"instant","'ɪnstənt","瞬间","For an instant, Barney was tempted to flee.","CET4luan_2,CET6_1"
"instantaneous",",ɪnstən'tenɪəs","即时的，瞬间的","modern methods of instantaneous communication","CET6_1"
"instantly","'ɪnstəntli","立即，即刻","All four victims died instantly.","CET4luan_2"
"instead","ɪn'stɛd","代替，顶替；反而","You probably picked up my keys instead of yours.","CET4luan_2"
"instinct","'ɪnstɪŋkt","本能；直觉；生性","Her instinct told her that something was wrong.","CET4luan_2"
"instinctively","in'stiŋktivli","本能地","What do we instinctively do?","CET6_1"
"institute","'ɪnstɪtut","研究所；学院","research institutes","CET4luan_2,CET6_1"
"institution",",ɪnstɪ'tuʃən","协会；制度，习俗","the Institution of Electrical Engineers","CET4luan_2,CET6_1"
"instruct","ɪn'strʌkt","指示；教；通知","Eva went straight to the hotel, as instructed (= as she had been told ).","CET4luan_2"
"instruction","ɪn'strʌkʃən","命令；教学；教训","(= I have been told ) to give the package to him personally.","CET4luan_2"
"instrument","'ɪnstrəmənt","工具；仪器；乐器","surgical instruments","CET4luan_2"
"insufficient",",ɪnsə'fɪʃnt","不足的；不适当的","Insufficient resources have been devoted to the health service.","CET4luan_2,CET6_1"
"insult","ɪn'sʌlt","侮辱，凌辱","Nobody insults my family and gets away with it!","CET4luan_2"
"insurance","ɪn'ʃʊrəns","保险；保险费","Your father took out insurance to cover the mortgage.","CET4luan_2"
"insure","ɪn'ʃʊr","给…保险；确保","Have you insured the contents of your home?","CET4luan_2"
"insurer","ɪn'ʃʊrɚ","保险公司；承保人","This alternative would have to operate as any other insurer, on the basis of the premiums it collects.","CET6_1"
"integral","'ɪntɪɡrəl","完整的","Rituals, celebrations, and festivals form an integral part of every human society.","CET6_1"
"integrity","ɪn'tɛɡrəti","正直","I have always regarded him as a man of integrity.","CET6_1"
"intellectual",",ɪntə'lɛktʃuəl","知识分子","a leading British intellectual","CET4luan_2"
"intelligence","ɪn'tɛlɪdʒəns","智力；理解力；情报","To be good at the game, you need a reasonable level of intelligence.","CET4luan_2"
"intelligent","ɪn'tɛlɪdʒənt","聪明的；理智的","a group of highly intelligent (= very intelligent )students","CET4luan_2,CET6_1"
"intend",,"想要，打算；意指","I fully intended (= definitely intended) to pay for the damage.","CET4luan_2"
"intense","ɪn'tɛns","强烈的；紧张的","Young people today are under intense pressure to succeed.","CET4luan_2,CET6_1"
"intensely","in'tensli","强烈地","I do not feel it intensely in my genitals alone, but I do feel it there as well as the rest of my body and…in my mouth…”.","CET6_1"
"intensity","ɪn'tɛnsəti","强烈，剧烈；〔光、声等的〕强度","The intensity of the hurricane was frightening.","CET4luan_2"
"intensive","ɪn'tɛnsɪv","加强的；精耕细作的","a one-week intensive course in English","CET4luan_2"
"intention","ɪn'tɛnʃən","意图，意向，目的","They went into town with the intention of visiting the library.","CET4luan_2"
"intentional","ɪn'tɛnʃənl","故意的，有意识的","I did trip him, but it wasn’t intentional.","CET4luan_2"
"interact",",ɪntɚ'ækt","互动","While the other children interacted and played together, Ted ignored them.","CET6_1"
"interaction",",ɪntə'rækʃən","相互作用；干扰","the complex interaction between mind and body","CET4luan_2,CET6_1"
"interactive",",ɪntɚ'æktɪv","互相作用的，互相影响的","interactive computer systems","CET6_1"
"interest","'ɪntrəst","兴趣；利益；利息","I watched the first few episodes, but soon lost interest.","CET4luan_2"
"interesting","'ɪntrəstɪŋ","有趣的，引人入胜的","That’s an interesting question.","CET4luan_2"
"interfere",",ɪntɚ'fɪr","干涉，干预；妨碍","My daughter-in-law said that I was interfering, but I was only trying to help.","CET4luan_2,CET6_1"
"interference",",ɪntɚ'fɪrəns","干涉，干预；阻碍","Industrial relations should be free from state interference.","CET4luan_2,CET6_1"
"interior","ɪn'tɪrɪɚ","内的；内地的内部","The interior walls are all painted white.","CET4luan_2"
"intermediate",",ɪntɚ'midɪət","中级的；中间的","an intermediate coursebook","CET4luan_2"
"internal","ɪn'tɝnl","国内的；内的","We have no interest in interfering in the internal affairs of other countries.","CET4luan_2"
"international",",ɪntɚ'næʃnəl","国际的，世界（性）的","the response of the international community","CET4luan_2"
"interpret","ɪn'tɝprɪt","口译；解释，说明","They spoke good Spanish, and promised to interpret for me.","CET4luan_2,CET6_1"
"interpretation","ɪn'tɝprɪ'teʃən","解释","One possible interpretation is that they want you to resign.","CET4luan_2,CET6_1"
"interpreter","ɪn'tɝprɪtɚ","译员，口译者","Speaking through an interpreter (= using an interpreter ), Ahmed said, ‘I’m very worried about my wife and children.’","CET4luan_2"
"interracial",",ɪntə'reʃl","种族间的","interracial marriage","CET6_1"
"interrupt","'ɪntə'rʌpt","打断，打扰；中止","Will you stop interrupting me!","CET4luan_2"
"interruption",",ɪntə'rʌpʃən","障碍物；中断，打断","The birth of her son was a minor interruption to her career.","CET4luan_2"
"intertwine",",ɪntɚ'twaɪn","交织，纠缠","Their destinies are intertwined.","CET6_1"
"interval","'ɪntɚvl","间隔；休息；间距","He left the room, returning after a short interval with a message.","CET4luan_2"
"intervene",",ɪntɚ'vin","干涉","The army will have to intervene to prevent further fighting.","CET6_1"
"intervention",",ɪntɚ'vɛnʃən","干涉","government intervention to regulate prices","CET6_1"
"interview","'ɪntɚvju","接见；会见；面谈","a portfolio of work presented at interview","CET4luan_2"
"intimate","ˈɪntəmɪt","亲密的；个人的","an intimate friend of Picasso’s","CET4luan_2,CET6_1"
"into","ˈɪntu","进，入；进入到","Come into the office.","CET4luan_2"
"intolerant","ɪn'tɑlərənt","无法容忍的","...intolerant attitudes toward non-Catholics.","CET6_1"
"intriguing","ɪn'triɡɪŋ","有趣的","The magazine carries an intriguing mixture of high fashion, gossip and racing.","CET6_1"
"intrinsic","ɪn'trɪnsɪk","本质的，固有的","the intrinsic interest of the subject","CET6_1"
"introduce","ˌɪntrə'dus","介绍；引进；传入","Have you two been introduced? Tom, this is Greg.","CET4luan_2"
"introduction",",ɪntrə'dʌkʃən","介绍；引进；引言","Pete, are you going to make the introductions?","CET4luan_2"
"intuitive","ɪn'tuɪtɪv","直觉的","He seemed to have an intuitive awareness of how I felt.","CET6_1"
"invade","ɪn'ved","入侵，侵略；侵袭","The Romans invaded Britain 2,000 years ago.","CET4luan_2"
"invasion","ɪn'veʒn","入侵，侵略；侵犯","the invasion of Normandy","CET4luan_2,CET6_1"
"invasive","ɪn'vesɪv","入侵的","invasive bladder cancers","CET6_1"
"invent","ɪn'vɛnt","发明，创造；捏造","Alexander Graham Bell invented the telephone in 1876.","CET4luan_2"
"invention","ɪn'vɛnʃən","发明，创造；捏造， 假话","The invention of the computer has revolutionized the business world.","CET4luan_2"
"inventor","ɪn'vɛntɚ","发明者；发明家","Alexander Graham Bell, the inventor of the telephone","CET4luan_2"
"invest","ɪn'vɛst","投资；投入","I’ve got a few thousand dollars I’m looking to invest.","CET4luan_2"
"investigate","ɪn'vɛstɪɡet","调查","The state police are investigating the incident.","CET4luan_2"
"investigation","ɪn,vɛstɪ'ɡeʃən","调查，调查研究","The investigation continued for nearly three years.","CET4luan_2"
"investment","ɪn'vɛstmənt","投资，投资额；投入","We plan to buy some property as an investment.","CET4luan_2"
"invisible","ɪn'vɪzəbl","看不见的；无形的","The house was surrounded by trees, and invisible from the road.","CET4luan_2"
"invitation","ˌɪnvɪˈteɪʃn","邀请，招待；请柬","an invitation to speak at a scientific conference","CET4luan_2"
"invite","ɪn'vaɪt","邀请；（正式）邀请，请求","I’m afraid I wasn’t invited.","CET4luan_2"
"involve","ɪn'vɑlv","使卷入；牵涉","If there was a cover-up, it involved people at the very highest levels of government.","CET4luan_2"
"inward","'ɪnwɚd","内心的","I sighed with inward relief.","CET4luan_2"
"iron","'aɪɚn","铁","the iron and steel industry","CET4luan_2"
"irony","'aɪrəni","讽刺","Life is full of little ironies.","CET6_1"
"irrational","ɪ'ræʃənl","不合理的，不理性的","an irrational fear of flying","CET6_1"
"irregular","ɪ'rɛɡjəlɚ","不规则的；不整齐的","a jagged, irregular coastline","CET4luan_2"
"irrelevant","ɪ'rɛləvənt","无关的","We’re focussing too much on irrelevant details.","CET6_1"
"irreversible",",ɪrɪ'vɝsəbl","不可逆的；不可取消的","Fossil fuels have caused irreversible damage to the environment.","CET6_1"
"irrigation","ˌɪrɪˈɡeʃn","灌溉","Rivers and lakes provide us with water transport and irrigation.","CET6_1"
"irritate","'ɪrɪtet","激怒","It really irritates me when he doesn’t help around the house.","CET6_1"
"island","'aɪlənd","岛，岛屿","The Cayman Islands","CET4luan_2"
"isolate","aɪslˌet","使隔离，使孤立","The town was isolated by the floods.","CET4luan_2,CET6_1"
"isolation",",aɪsə'leʃən","隔绝，隔离","Because of its geographical isolation, the area developed its own unique culture.","CET6_1"
"issue","'ɪʃu","问题；发行","Abortion is a highly controversial issue.","CET4luan_2"
"it","aɪ ti","这，那，它","‘Where’s your office?’ ‘It’s on the third floor.’","CET4luan_2"
"Italian","ɪˈtæljən","意大利的","I watch Italian football a lot.","CET4luan_2"
"item","'aɪtəm","一项，一件，一条","He opened the cardboard box and took out each item.","CET4luan_2"
"its","ɪts","它的","He emphasized its importance to me.","CET4luan_2"
